POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA2361,0,4,3,0,0,0,0,0,0,5,4,7,0,0,0,3,0,3,5,20,21,56,44,23,42,43,20,78,15,339
POA2365,3,9,3,4,8,10,0,6,0,49,4,14,5,0,4,8,5,13,15,71,69,237,171,113,325,278,87,315,36,1635
POA2369,0,0,4,0,4,4,0,0,0,10,0,0,0,0,0,3,0,0,4,9,10,39,29,23,52,56,12,26,7,255
POA2370,7,17,17,13,28,33,4,23,0,138,11,14,9,8,23,23,0,16,39,151,132,446,390,232,534,495,128,506,78,2943
POA2371,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,6,19,12,73,49,35,49,51,21,77,19,377
POA2372,5,11,3,3,3,17,4,13,0,62,7,18,10,6,11,17,4,4,37,108,82,294,221,157,260,304,80,350,66,1817
POA2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,23,10,3,16,23,16,51,3,161
POA2380,9,39,23,14,58,50,14,45,0,255,4,12,12,4,29,22,13,26,45,165,220,599,499,350,855,815,392,1187,93,5019
POA2381,0,0,0,0,6,3,0,0,0,11,0,3,0,0,4,5,5,3,6,28,26,59,35,35,71,97,37,166,21,550
POA2382,0,3,0,0,5,4,0,0,0,14,0,3,0,0,3,5,0,11,4,28,28,64,46,25,69,85,34,215,17,577
POA2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,18,10,5,6,22,3,65,6,138
POA2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,0,4,13,3,51,9,101
POA2388,0,3,0,0,9,11,3,6,0,46,3,7,0,9,8,3,0,12,12,54,28,126,109,73,152,164,51,324,37,1073
POA2390,4,19,23,10,40,36,20,28,4,177,3,10,16,10,36,34,4,33,31,184,161,462,381,300,842,727,287,823,99,4068
POA2395,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,11,17,37,27,16,35,26,18,50,7,229
POA2396,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,3,0,0,0,10,5,42,37,21,39,60,13,73,3,296
POA2397,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,6,6,7,16,7,17,24,5,54,0,128
POA2398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,18,14,9,14,16,7,32,0,109
POA2399,0,3,5,0,3,3,0,3,0,17,0,0,0,0,0,3,0,0,6,13,9,17,25,20,34,31,14,85,15,263
POA2400,5,18,14,12,47,39,8,41,4,189,14,22,14,7,26,25,10,39,40,197,157,409,375,281,753,822,282,947,96,4116
POA2401,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,12,18,13,22,33,4,49,0,160
POA2402,0,3,5,4,10,6,0,7,3,30,3,3,0,0,3,5,0,7,6,39,19,85,72,48,105,119,28,143,18,642
POA2403,0,0,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,3,9,0,26,37,22,40,53,10,90,14,291
POA2404,0,0,0,0,0,0,0,0,0,4,0,4,3,0,4,0,0,3,6,20,16,83,87,46,91,95,30,123,20,597
POA2405,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,6,8,19,12,11,25,32,10,66,4,190
POA2406,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,3,0,0,3,10,13,38,21,20,47,58,20,90,9,317
POA2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,10,11,8,9,32,10,68,3,156
POA2409,0,0,0,0,5,3,0,0,0,12,0,0,0,0,0,0,0,0,8,11,6,33,26,24,25,49,13,77,14,261
POA2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,11,10,4,4,19,4,34,0,99
POA2411,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,8,4,18,0,55
POA2415,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,27,22,24,34,37,5,35,0,193
