POA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA4738,0,0,0,16,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,6,3,23,0,3,27,4,26,0,11,6,57,11,175
POA4739,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,14,0,9,0,0,0,14,7,52
POA4740,7,46,3,921,6,0,3,9,7,4,0,4,4,24,727,796,10,0,11,6,0,0,4,3,6,62,58,165,2264,267,92,1301,165,902,88,528,107,2458,838,9015
POA4741,0,0,0,70,0,0,0,0,0,5,0,0,0,0,63,76,0,0,4,0,0,0,0,0,0,10,9,26,162,30,11,122,17,97,7,47,14,284,78,886
POA4742,0,0,0,15,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,28,3,3,15,5,12,0,0,0,13,11,85
POA4743,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,6,4,0,0,0,0,3,6,40
POA4744,0,0,0,208,3,0,0,0,0,0,0,0,0,0,46,49,0,0,0,0,0,0,0,0,0,0,0,9,287,5,11,87,20,87,7,9,6,21,51,605
POA4745,0,0,0,58,0,0,0,0,0,0,0,0,0,0,21,24,0,0,0,0,0,0,0,0,0,0,5,4,93,7,10,32,5,25,4,11,0,21,23,225
POA4746,0,0,0,29,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,45,6,4,22,3,21,0,3,0,4,9,119
POA4750,0,3,0,49,0,0,0,0,0,0,0,0,0,0,62,72,0,0,0,0,0,0,0,0,0,4,4,6,139,16,4,88,4,73,3,43,14,148,74,604
POA4751,0,0,0,44,0,0,0,0,0,4,0,0,0,4,51,60,3,0,0,0,0,0,0,0,0,5,10,22,139,12,8,76,18,56,0,30,5,145,62,561
POA4753,0,0,0,48,0,0,0,0,0,0,0,0,0,0,50,58,0,0,0,0,0,0,0,0,0,5,3,7,135,18,9,52,9,47,3,21,12,95,54,450
POA4754,0,0,0,18,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,4,8,66,4,5,33,3,33,0,8,4,60,24,241
POA4756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,16,0,3,0,0,3,19,3,66
POA4757,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,9,0,3,0,20,0,44
POA4798,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,0,12,0,8,4,23,8,77
