POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2080,0,0,10,5,10,9,0,0,0,40,0,0,3,3,9,9,0,0,0,18,49,68,117,197,239,172,34,5,0,890
POA2081,9,5,12,16,28,27,9,0,0,111,6,9,16,24,15,19,8,0,0,89,193,242,335,608,785,573,125,15,0,2876
POA2082,10,12,9,23,22,22,3,0,0,100,3,6,18,34,27,16,4,3,0,104,176,206,286,689,820,479,127,12,0,2793
POA2083,0,3,10,5,5,5,0,0,0,33,0,4,8,10,20,9,7,0,0,43,20,51,114,147,201,221,79,12,0,843
POA2084,7,11,12,14,29,19,6,0,0,95,3,6,10,12,15,19,7,0,0,75,109,161,192,298,492,372,133,41,0,1802
POA2085,9,22,24,34,61,40,24,4,0,220,8,21,26,54,69,36,9,0,0,235,345,483,487,1121,1659,955,349,63,5,5450
POA2086,24,27,38,53,72,43,11,4,0,271,16,21,46,77,106,47,14,0,0,328,471,602,862,1664,2038,1186,298,63,0,7178
POA2087,12,22,30,38,72,36,9,0,0,214,20,25,21,67,75,48,12,9,0,274,417,537,587,1323,1877,1110,302,47,3,6214
POA2088,15,34,59,63,72,46,35,4,0,328,5,40,117,137,136,98,44,23,3,602,472,979,2514,2994,3302,2495,1081,293,26,14153
POA2089,0,20,43,42,28,19,4,0,0,162,3,12,89,75,42,25,13,3,0,265,108,480,2185,1738,1143,825,344,79,6,6908
POA2090,5,7,53,35,35,36,7,0,0,185,4,23,92,76,48,44,8,11,0,298,139,464,1963,1859,1507,1106,541,101,4,7678
POA2092,6,13,13,10,31,17,6,0,0,88,4,13,21,38,55,32,5,0,0,163,199,258,343,753,1074,618,196,32,3,3484
POA2093,11,26,70,54,80,56,7,0,0,318,25,26,109,131,135,74,20,5,0,532,623,828,1957,2849,3291,1963,558,87,9,12173
POA2094,8,4,14,16,13,15,3,0,0,74,9,12,33,42,31,8,4,0,0,141,119,209,832,831,708,560,165,13,5,3444
POA2095,3,10,88,58,20,31,13,0,0,222,3,35,186,129,70,41,16,3,0,481,208,559,3071,2329,1602,1194,393,85,9,9451
POA2096,19,19,87,59,40,40,9,0,0,272,12,30,152,105,94,46,12,7,0,448,331,572,2370,2056,1858,1158,306,39,0,8688
POA2097,14,26,66,70,69,48,9,3,0,301,13,31,53,92,110,62,18,6,0,389,540,760,1384,1782,2108,1423,418,63,4,8471
POA2099,35,78,226,166,148,122,26,7,0,815,30,99,302,298,240,168,32,5,0,1181,948,1983,5395,5537,5104,3318,837,97,10,23226
POA2100,20,52,93,97,102,62,25,6,0,456,24,35,83,149,145,68,13,3,0,526,652,988,1802,2596,2992,1866,500,50,0,11455
POA2101,25,31,95,87,82,65,38,3,0,423,11,28,72,106,96,71,30,7,4,426,535,771,1789,2188,2302,1769,564,78,7,9996
POA2102,16,6,26,42,47,21,12,0,0,162,5,12,30,49,42,29,6,7,0,184,270,308,551,1014,1130,650,177,33,0,4136
POA2103,17,25,36,37,37,40,20,10,0,222,21,17,43,56,66,40,10,10,0,257,291,472,790,985,1300,1043,383,57,4,5337
POA2104,0,6,4,5,8,6,5,0,0,40,3,3,8,11,16,18,7,10,0,77,75,108,147,198,362,359,156,55,5,1449
POA2105,3,0,7,3,6,9,0,0,0,24,3,0,6,9,19,11,8,0,0,52,58,54,73,134,257,252,102,20,0,956
POA2106,6,16,24,23,41,42,8,7,0,174,10,10,40,57,71,66,21,7,0,274,296,447,801,831,1235,1118,366,64,0,5166
POA2107,20,23,26,42,46,39,15,3,0,219,15,19,44,78,75,83,21,8,0,354,450,571,697,1335,1850,1683,672,93,9,7359
POA2108,0,0,4,0,3,3,0,0,0,15,0,8,10,10,11,14,11,3,0,64,32,43,73,86,161,197,148,40,0,775
POA2110,10,11,8,13,25,29,6,4,0,109,13,16,26,31,62,31,19,3,0,206,222,372,493,826,1185,800,374,90,7,4375
POA2111,14,21,66,43,57,51,8,4,0,264,5,22,91,68,78,52,13,11,0,336,284,623,1931,1951,1806,1188,384,59,9,8232
POA2112,13,50,152,142,124,95,29,9,0,601,12,47,283,257,134,104,28,4,0,875,589,1560,5290,5027,3461,2553,690,69,4,19244
POA2113,11,48,113,87,78,70,16,0,0,414,12,58,225,184,87,65,19,0,6,651,498,1507,4823,3666,2212,1513,400,46,8,14674
POA2114,4,27,77,98,78,65,17,6,0,371,10,38,189,173,82,72,19,0,0,591,343,1047,3849,3494,2271,1700,418,53,3,13181
POA2115,11,17,35,53,60,37,16,0,0,223,7,16,80,79,38,36,4,0,0,262,212,475,1435,1527,1056,768,196,19,0,5689
POA2116,5,11,20,20,32,23,4,0,0,122,4,7,42,44,33,23,4,0,0,150,150,286,744,773,733,498,116,11,0,3314
POA2117,5,34,57,73,84,83,14,3,0,356,13,28,114,137,110,95,23,5,0,531,332,848,1949,2334,2190,1584,404,35,8,9687
POA2118,10,22,64,77,87,79,24,0,0,367,8,45,126,218,117,90,35,3,0,637,353,1053,2363,3524,2466,1853,526,80,0,12221
POA2119,12,11,11,23,37,29,7,3,0,137,7,13,30,55,57,35,18,5,0,212,307,499,688,1285,1512,1119,406,87,9,5907
POA2120,11,33,43,67,85,54,11,11,0,314,7,30,77,107,105,75,24,5,0,428,481,958,1417,2448,2777,1830,526,79,6,10521
POA2121,8,38,77,105,79,83,20,0,0,409,9,52,186,224,128,88,23,10,3,725,507,1446,4090,4421,3211,2357,608,78,5,16718
POA2122,9,31,78,97,89,76,25,5,0,413,8,74,221,203,126,107,28,0,0,771,335,1267,3641,3635,2663,2104,670,52,3,14373
POA2125,7,16,30,40,56,38,29,5,0,223,11,21,40,80,69,67,34,10,0,327,367,771,1083,1749,1875,1696,598,73,3,8216
