POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2147,576,369,445,393,330,303,217,118,57,2815,7122,4520,5104,5606,4708,4258,3562,1766,643,37285
POA2148,1109,770,1007,828,622,515,303,214,104,5468,13062,8700,11769,10621,7520,6737,5062,2788,1229,67483
POA2150,412,356,823,547,199,173,115,66,45,2723,5651,4000,11129,7361,2579,2113,1461,678,274,35254
POA2151,249,155,213,264,187,166,112,71,21,1432,3862,2296,2927,3688,2807,2362,1798,1061,396,21204
POA2152,125,57,82,93,72,55,69,67,55,676,2169,1120,1479,1840,1510,1098,944,758,346,11261
POA2153,574,328,318,426,377,334,243,157,170,2919,12925,7120,6221,10388,8456,6775,5899,3541,1294,62610
POA2154,323,255,167,243,290,220,202,200,225,2110,7675,5089,3403,5805,5835,4919,4239,2545,1371,40874
POA2155,727,524,434,569,532,299,175,130,92,3493,17878,10516,8519,13788,11288,6783,4299,2060,559,75699
POA2156,142,122,48,69,136,103,65,63,28,776,2313,1953,919,1321,1973,1803,1549,1139,443,13403
POA2157,45,23,18,32,30,27,28,7,8,213,807,549,334,478,619,542,433,221,66,4042
POA2158,77,81,52,44,83,83,47,46,21,532,1561,1189,721,880,1364,1245,941,711,326,8937
POA2159,77,56,22,58,62,47,43,19,11,386,886,646,432,520,737,741,592,416,182,5148
POA2160,998,596,866,726,496,397,223,112,48,4474,8092,5247,7138,5791,4401,3981,2639,1469,633,39388
POA2161,1102,584,659,619,431,333,197,111,84,4125,7953,4954,5894,4536,3632,3364,2250,1226,569,34379
POA2162,616,334,298,319,273,222,149,97,126,2439,4475,3022,2696,2496,2417,2362,1558,781,493,20306
POA2163,283,212,336,298,224,160,90,47,20,1674,2038,1476,1565,1367,1327,1217,927,387,235,10544
POA2164,341,183,207,213,175,181,158,112,73,1632,4221,2704,2795,2553,2605,2579,2124,1192,499,21273
POA2165,897,562,559,563,542,490,353,192,72,4239,8418,6167,5754,5729,5949,5794,4128,2284,831,45046
POA2166,957,656,666,639,687,667,383,281,251,5201,9009,7893,7314,6532,7602,7512,4754,2304,1253,54184
POA2167,140,78,99,100,83,70,43,29,20,657,2205,1213,1537,1759,1270,1069,727,430,327,10536
POA2168,1187,656,579,596,500,540,301,150,45,4564,9781,6899,5719,5569,5585,5932,3423,1628,486,45023
POA2170,2380,1418,1722,1604,1207,1033,729,580,443,11125,24138,15188,17018,16392,14110,12336,8538,4808,1947,114479
POA2171,653,392,310,381,367,224,117,40,13,2503,9299,6006,4753,5954,5527,4048,2214,826,248,38882
POA2172,24,24,16,14,28,22,9,4,0,140,580,406,321,383,483,402,217,86,17,2892
POA2173,183,191,146,142,117,87,21,17,8,907,3262,2143,2154,2245,2071,1552,717,311,90,14544
POA2174,222,112,143,168,114,53,21,12,0,838,3257,1572,2207,2428,1346,729,386,113,36,12080
POA2175,32,23,28,24,29,28,17,11,3,197,297,241,181,177,254,256,190,153,42,1790
POA2176,655,476,404,436,467,466,370,192,103,3579,8549,6866,6075,5678,6252,7102,5762,2699,1028,50022
POA2177,302,205,170,161,144,171,96,38,13,1303,3151,2510,2275,2027,2199,2385,1705,633,274,17154
POA2178,44,48,37,49,61,46,39,22,10,359,682,644,426,432,629,548,472,227,109,4170
POA2179,282,114,176,191,114,89,76,84,104,1226,4154,1644,3341,2789,1466,1158,952,548,211,16262
POA2190,757,451,332,368,338,277,187,95,39,2856,6527,4136,3391,3475,3200,2954,2151,1208,512,27559
POA2191,91,60,54,55,70,60,40,17,8,453,1246,807,749,848,938,816,589,401,159,6555
POA2192,233,172,222,223,174,179,135,98,80,1531,2214,1690,2210,1902,1811,1630,1182,789,348,13781
POA2193,174,137,239,199,139,110,79,57,22,1155,2713,1994,3317,2770,2284,2051,1411,896,335,17778
POA2194,359,313,567,456,343,279,158,84,50,2600,3390,3245,5519,4150,3414,3045,1904,981,493,26132
POA2195,673,329,603,450,281,226,122,74,41,2798,6581,3010,5463,4400,2629,2242,1511,859,409,27103
POA2196,654,491,475,420,375,319,201,145,73,3151,7031,4778,4963,4431,4130,3711,2546,1512,637,33743
POA2197,285,161,140,152,140,124,98,44,29,1173,2403,1391,1301,1249,1163,1096,806,477,239,10121
POA2198,268,148,121,138,124,79,82,90,121,1167,2290,1268,1117,1248,1187,891,810,692,340,9843
POA2199,523,278,320,260,237,189,135,66,29,2038,4325,2733,2802,2457,2273,2228,1630,798,400,19651
POA2200,1104,637,832,709,525,441,301,191,175,4909,10152,6411,8109,6649,5442,5083,3437,1850,864,48003
POA2203,104,122,221,152,143,111,76,35,19,980,1974,1387,2731,2414,2043,1576,975,611,226,13946
POA2204,253,184,399,287,253,208,127,107,36,1852,3546,2582,5806,4445,3627,2747,1944,1294,570,26567
POA2205,265,307,733,319,222,171,91,88,72,2261,3167,3301,8543,4273,2201,1740,1173,672,280,25338
POA2206,172,148,156,143,193,164,125,155,171,1425,3276,2263,1982,2461,3094,2473,1880,1527,758,19730
POA2207,383,237,235,276,215,202,190,172,159,2068,5035,3309,3502,3889,3668,3383,2731,1799,1059,28382
POA2208,125,94,106,107,109,79,52,57,28,757,2325,1513,1417,1744,1802,1540,1285,852,406,12881
POA2209,154,105,154,141,130,122,95,49,34,991,2626,1799,2197,2230,1994,2037,1611,898,433,15825
POA2210,409,304,309,312,313,306,214,192,92,2451,5583,3988,4139,4241,4256,4267,3334,2317,1132,33262
POA2211,210,142,168,145,141,144,86,80,74,1188,2984,2160,2238,2305,2270,2407,1617,1023,604,17610
POA2212,214,154,181,151,160,117,122,130,180,1419,3252,2138,2337,2385,2169,2066,1495,813,538,17184
POA2213,271,175,179,192,191,170,101,79,49,1408,4598,2877,2726,3281,3208,2932,2062,1117,494,23290
POA2214,50,26,17,27,30,19,18,13,0,205,850,517,456,521,550,417,442,269,43,4074
POA2216,346,265,429,367,301,230,174,129,66,2310,4023,3251,5469,4477,3368,2943,2370,1502,611,28027
POA2217,292,179,392,286,256,193,145,179,246,2167,4422,3165,5196,4397,3567,3059,2251,1664,959,28673
POA2218,158,152,192,164,130,135,88,48,22,1089,2419,1973,2888,2421,1972,1982,1476,763,292,16182
POA2219,159,116,135,143,154,139,118,72,39,1073,2237,1363,1493,1751,2017,1859,1528,1076,443,13771
POA2220,250,319,446,220,196,187,155,117,152,2054,4520,5183,7642,4433,3485,3724,2682,1432,672,33761
POA2221,164,137,95,115,148,127,91,95,90,1065,2977,2240,1713,2062,2428,2294,1701,1066,587,17065
POA2222,129,104,172,122,102,81,76,46,71,902,1930,1589,2126,1762,1582,1598,1176,602,291,12660
POA2223,206,138,152,167,150,143,118,55,66,1200,3810,2488,2539,3119,2896,2728,2140,1114,576,21403
POA2224,183,90,75,142,124,98,85,79,50,919,2491,1647,1291,1733,2068,1798,1543,1348,649,14559
POA2225,54,29,27,33,45,27,24,9,9,248,1254,716,385,784,929,619,536,257,83,5560
POA2226,141,71,80,117,109,79,80,39,28,753,2721,1447,1344,1898,1950,1534,1222,640,302,13054
POA2227,141,104,95,111,138,93,74,49,21,837,3015,1848,1605,2090,2284,1874,1370,908,377,15364
