POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA2326,8,49,25,46,0,140,8,11,65,76,225,9,395,0,0,0,3,3,0,7,0,0,0,9,86,0,102,0,0,4,9,47,14,77,29,39,227,280,1340,67,1984
POA2327,21,52,21,42,0,149,10,12,83,70,223,19,407,0,0,0,6,4,0,12,0,0,0,17,88,0,113,0,0,3,3,49,14,66,44,42,264,247,1268,72,1928
POA2328,0,35,13,13,0,70,5,6,11,17,39,3,69,0,0,3,0,3,0,3,0,0,0,0,26,3,31,0,0,0,0,6,11,22,22,9,105,112,461,57,764
POA2329,0,38,4,14,0,58,0,3,11,20,18,5,48,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,3,0,6,13,21,16,7,122,80,254,42,517
POA2330,44,205,71,148,7,517,40,30,190,149,329,20,758,0,0,8,6,25,0,49,3,6,21,38,264,5,329,9,0,17,16,138,38,222,251,151,1127,946,4078,233,6788
POA2331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,20,14,80,3,126
POA2333,30,142,40,79,8,328,18,23,104,91,183,23,440,0,0,3,0,21,4,29,0,0,3,21,146,3,175,3,0,9,9,78,27,125,124,91,528,518,2348,156,3758
POA2334,0,28,17,23,0,77,3,13,44,40,85,0,184,0,0,0,4,6,0,10,0,0,0,9,64,0,72,0,0,5,3,27,4,40,25,15,132,146,708,32,1061
POA2335,24,122,30,49,0,248,16,20,112,79,139,13,385,0,0,3,6,8,0,14,5,0,7,12,130,4,157,3,0,15,7,48,13,87,98,73,567,449,1655,89,2936
POA2336,11,24,3,13,5,56,5,0,19,17,36,0,80,0,0,0,3,5,0,14,0,0,0,5,34,0,37,0,0,4,0,9,8,19,15,19,110,85,488,14,742
