POA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA6525,0,0,0,0,0,0,0,0,4,35,41,3,81,5,0,5,83,42,0,125
POA6528,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,8,0,13
POA6530,0,3,0,0,0,3,9,14,28,473,366,55,899,46,46,95,994,620,28,1645
POA6532,0,0,0,0,0,5,0,6,4,71,57,7,139,3,7,11,149,55,5,209
POA6535,0,0,0,0,0,0,0,0,0,13,7,0,19,0,3,3,20,23,0,45
POA6536,0,0,0,0,0,0,0,0,0,5,12,3,21,0,0,0,22,12,0,32
POA6537,0,0,0,0,0,0,0,0,0,5,3,0,11,0,0,0,11,3,0,15
POA6556,0,0,0,0,0,0,0,0,0,31,18,0,52,5,0,5,52,22,0,76
POA6558,0,0,0,0,0,0,0,0,0,7,6,0,14,0,0,0,20,4,0,23
POA6560,0,0,0,0,0,0,0,0,4,9,20,0,32,4,0,6,31,36,0,68
POA6562,0,0,0,0,0,0,0,0,3,10,10,4,27,0,0,0,33,23,0,52
POA6564,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,3,0,15
POA6566,0,0,0,0,0,0,0,0,3,25,27,3,54,0,5,9,56,51,0,118
POA6567,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,4,0,12
POA6568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6569,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4
POA6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
